month,new_revenue,expansion_revenue,contraction_revenue,churned_revenue,resurrected_revenue,quick_ratio
2024-02-01,0.0,446.83,0.0,0,0,446.83
2024-03-01,0.0,1172.82,0.0,0,0,1172.82
2024-04-01,239.72,397.49,0.0,0,0,637.21
2024-05-01,0.0,733.93,0.0,0,0,733.93
2024-06-01,194.33,490.56,28.16,0,0,24.32
2024-07-01,0.0,2344.61,0.0,0,0,2344.61
2024-08-01,0.0,1132.33,193.2,0,0,5.86
2024-09-01,0.0,3259.65,0.0,0,0,3259.65
2024-10-01,0.0,812.78,108.14,0,0,7.52
2024-11-01,0.0,1417.51,0.0,0,0,1417.51
2024-12-01,0.0,0.0,2173.08,0,0,0.0
2025-01-01,0.0,3205.02,0.0,0,0,3205.02
2025-02-01,0.0,877.28,270.75,0,0,3.24
2025-03-01,0.0,1957.85,239.96,0,0,8.16
2025-04-01,0.0,2090.5,294.9,0,0,7.09
2025-05-01,0.0,1815.31,270.64,0,0,6.71
2025-06-01,0.0,32.53,352.11,0,0,0.09
2025-07-01,0.0,2983.6,17.99,0,0,165.85
2025-08-01,0.0,2335.29,128.21,0,0,18.21
2025-09-01,0.0,2222.89,49.53,0,0,44.88
2025-10-01,0.0,6597.92,0.0,0,0,6597.92
2025-11-01,0.0,5035.47,61.72,0,0,81.59
2025-12-01,0.0,0.0,3727.88,0,0,0.0
